network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude
1.6.0.0/15,1269750,1269750,,0,0,,20.0000,77.0000
1.8.0.0/16,1816670,1814991,,0,0,,39.9289,116.3883
1.9.0.0/20,1734806,1733045,,0,0,,2.7867,101.9953
1.9.16.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.18.0/24,8535552,1733045,,0,0,68000,3.1500,101.7667
1.9.19.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.20.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.21.0/24,1735161,1733045,,0,0,50480,3.1630,101.6753
1.9.22.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.24.0/24,1732891,1733045,,0,0,45400,3.3500,101.2500
1.9.25.0/24,1735161,1733045,,0,0,60000,3.1456,101.6450
1.9.26.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.28.0/22,1734806,1733045,,0,0,,2.7867,101.9953
1.9.32.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.33.0/24,1735161,1733045,,0,0,54000,3.1649,101.7230
1.9.34.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.36.0/22,1734806,1733045,,0,0,,2.7867,101.9953
1.9.40.0/22,1734806,1733045,,0,0,,2.7867,101.9953
1.9.44.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.46.0/23,1735158,1733045,,0,0,46400,3.0833,101.6500
1.9.48.0/22,1734806,1733045,,0,0,,2.7867,101.9953
1.9.52.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.53.0/24,1732752,1733045,,0,0,80500,1.4655,103.7578
1.9.54.0/24,1735161,1733045,,0,0,58000,3.1238,101.6841
1.9.55.0/24,1734634,1733045,,0,0,31400,4.6114,101.1043
1.9.56.0/22,1734806,1733045,,0,0,,2.7867,101.9953
1.9.60.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.62.0/24,1736287,1733045,,0,0,02607,6.3964,100.3075
1.9.63.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.64.0/22,1734806,1733045,,0,0,,2.7867,101.9953
1.9.68.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.69.0/24,1734586,1733045,,0,0,34000,4.7969,100.7934
1.9.70.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.72.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.74.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.75.0/24,1735092,1733045,,0,0,,5.0182,100.4282
1.9.76.0/22,1734806,1733045,,0,0,,2.7867,101.9953
1.9.80.0/20,1734806,1733045,,0,0,,2.7867,101.9953
1.9.96.0/24,1734705,1733045,,0,0,21400,5.2321,103.1041
1.9.97.0/25,1734705,1733045,,0,0,20000,5.2847,103.1475
1.9.97.128/25,1735553,1733045,,0,0,17500,5.7687,102.1201
1.9.98.0/24,1735227,1733045,,0,0,25150,3.7686,103.2328
1.9.99.0/25,1735227,1733045,,0,0,25150,3.7686,103.2328
1.9.99.128/25,1732667,1733045,,0,0,28707,3.5316,101.9038
1.9.100.0/25,1732687,1733045,,0,0,83000,1.8578,103.0357
1.9.100.128/25,1732869,1733045,,0,0,84000,2.0051,102.7335
1.9.101.0/24,1732687,1733045,,0,0,83000,1.8578,103.0357
1.9.102.0/25,1734759,1733045,,0,0,75519,2.1960,102.2405
1.9.102.128/25,1734810,1733045,,0,0,70400,2.7486,101.9435
1.9.103.0/25,1734759,1733045,,0,0,75519,2.1960,102.2405
1.9.103.128/25,1734810,1733045,,0,0,70300,2.7313,101.9307
1.9.104.0/24,1733432,1733045,,0,0,88858,5.9771,116.0678
1.9.105.0/25,1733468,1733045,,0,0,89657,5.6667,116.3667
1.9.105.128/25,1734199,1733045,,0,0,91000,4.2901,117.8994
1.9.106.0/23,1735634,1733045,,0,0,93250,1.5620,110.3152
1.9.108.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.110.0/23,1744246,1733045,,0,0,43300,3.0333,101.7167
1.9.112.0/24,1747013,1733045,,0,0,57000,3.1000,101.7000
1.9.113.0/24,1735079,1733045,,0,0,14000,5.3344,100.4673
1.9.114.0/24,10941913,1733045,,0,0,43000,3.0094,101.7755
1.9.115.0/25,1734810,1733045,,0,0,70400,2.7486,101.9435
1.9.115.128/25,10941913,1733045,,0,0,43007,2.9927,101.7909
1.9.116.0/24,1735158,1733045,,0,0,46400,3.0833,101.6500
1.9.117.0/24,1732752,1733045,,0,0,80508,1.4655,103.7578
1.9.118.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.119.0/24,1735498,1733045,,0,0,08000,5.6639,100.4902
1.9.120.0/24,1735161,1733045,,0,0,53100,3.2680,101.6764
1.9.121.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.122.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.123.0/24,1732752,1733045,,0,0,81100,1.5495,103.7080
1.9.124.0/24,10941913,1733045,,0,0,43000,3.0094,101.7755
1.9.125.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.126.0/23,1735161,1733045,,0,0,58200,3.0934,101.6794
1.9.128.0/24,1734810,1733045,,0,0,70400,2.7486,101.9435
1.9.129.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.130.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.132.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.134.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.135.0/24,1732738,1733045,,0,0,81920,1.7578,103.9291
1.9.136.0/23,1734806,1733045,,0,0,,2.7867,101.9953
1.9.138.0/24,1734806,1733045,,0,0,,2.7867,101.9953
1.9.139.0/25,1735161,1733045,,0,0,50586,3.1667,101.7000
1.9.139.128/26,1735161,1733045,,0,0,50586,3.1667,101.7000
1.9.139.192/27,1735161,1733045,,0,0,50586,3.1667,101.7000
1.9.139.224/28,1735161,1733045,,0,0,50586,3.1667,101.7000
1.9.139.240/29,1735161,1733045,,0,0,50586,3.1667,101.7000
1.9.139.248/32,1732738,1733045,,0,0,81930,1.6712,103.9725
1.9.139.249/32,1735161,1733045,,0,0,50586,3.1667,101.7000
